review_id,product_id,rating,title,text,category,verified_purchase
rev_000001,prod_0001,5,Excellent sound quality,"These headphones deliver incredible sound across all frequencies. The bass is punchy without being muddy and the highs are crisp. Active noise cancellation works great on flights and in the office. Battery easily lasts 20 hours.",Electronics,True
rev_000002,prod_0002,1,Complete waste of money,"Stopped working after three days. The right earcup makes a buzzing noise at any volume above 50 percent. Tried resetting multiple times with no improvement. Returning immediately.",Electronics,True
rev_000003,prod_0003,4,Great for daily commute,"Comfortable fit and decent noise isolation for the price. Sound signature leans warm which I enjoy for podcasts and jazz. Wish the app had better EQ controls but not a dealbreaker.",Electronics,True
rev_000004,prod_0001,3,Mixed feelings,"Build quality is solid and they look premium. Sound is good but not amazing at this price tier. The touch controls are finicky and I accidentally pause music constantly. Noise cancellation is the strong point.",Electronics,False
rev_000005,prod_0004,5,Best purchase this year,"Blown away by the clarity and soundstage. These compete with wired headphones twice the price. Multipoint connection between laptop and phone works flawlessly. Highly recommend for anyone who values audio quality.",Electronics,True
rev_000006,prod_0005,2,Uncomfortable after an hour,"Sound is decent but the clamping force is way too tight. Get a headache after about an hour of use. Padding is thin and cheap feeling. Might work for people with smaller heads.",Electronics,True
rev_000007,prod_0002,4,Solid midrange option,"Not the best in class but punches above its weight. Good call quality and the mic works well in windy conditions. Folds up nicely for travel. Pairs quickly with my devices.",Electronics,False
rev_000008,prod_0006,1,Terrible bluetooth connectivity,"Cannot maintain a stable connection with any of my three devices. Constant stuttering and drops every few minutes. Firmware update did not fix it. Very frustrating for the price.",Electronics,True
rev_000009,prod_0003,5,Audiophile approved,"As someone who has spent thousands on audio gear these are the real deal for wireless. Detail retrieval is impressive and the spatial audio implementation is the best I have tested. Worth every penny.",Electronics,True
rev_000010,prod_0007,3,Decent for working out,"Stays in place during runs and the IP rating gives peace of mind for sweat. Sound quality is adequate but nothing special. Controls are easy to use with gloves on. Battery could be better.",Sports,True
rev_000011,prod_0008,4,Perfect for the home office,"Noise cancellation makes open floor plans bearable. Mic quality is clear on video calls. Comfortable enough for all day wear. The transparency mode sounds natural.",Electronics,True
rev_000012,prod_0001,2,Overhyped product,"Expected more based on the reviews. Sound is flat and lifeless out of the box. EQ helps but should not be necessary at this price. Packaging was nice though I guess.",Electronics,False
rev_000013,prod_0009,5,Gift for my daughter,"She absolutely loves them. Easy to set up and the volume limiting feature gives me peace of mind. Durable enough for a teenager. Great colors too.",Electronics,True
rev_000014,prod_0010,1,Defective unit,"Left channel is noticeably quieter than the right. Tried with multiple sources to confirm. Quality control needs improvement. Exchanging for a different brand.",Electronics,True
rev_000015,prod_0004,4,Impressed with the upgrade,"Coming from the previous generation the improvements in noise cancellation and call quality are significant. Sound signature is warmer which some might not prefer. Build feels more premium.",Electronics,True
rev_000016,prod_0011,3,Good not great for gaming,"Latency is low enough for casual gaming but competitive players will notice the delay. Spatial audio works okay for shooters. Mic picks up too much background noise. Comfortable for long sessions.",Electronics,True
rev_000017,prod_0005,5,Travel essential,"Used these on a 14 hour flight and they were a lifesaver. Noise cancellation eliminated engine drone completely. Battery lasted the entire trip with room to spare. Quick charge is clutch.",Electronics,True
rev_000018,prod_0012,2,Not worth the premium,"For the asking price I expected class leading performance. Instead I got average sound and mediocre ANC. The brand name is doing all the heavy lifting here. Save your money.",Electronics,True
rev_000019,prod_0006,4,Reliable daily driver,"Nothing flashy but everything works well. Sound is balanced and detailed. Connection is rock solid. They just work every time I put them on which is what I need.",Electronics,False
rev_000020,prod_0013,5,Studio monitor replacement,"Using these for mixing rough demos on the go. The flat response profile is remarkably accurate for wireless cans. Not a replacement for proper monitors but closer than anything else I have tried.",Electronics,True
